epoch,phase,epoch_loss,epoch_acc,best_acc
34,train,0.0735186342097292,"tensor(0.9814, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
34,test,0.08713454541834918,"tensor(0.9733, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
35,train,0.07671815851120034,"tensor(0.9806, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
35,test,0.08741389084042925,"tensor(0.9697, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
36,train,0.07486581569669222,"tensor(0.9806, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
36,test,0.08882045291589968,"tensor(0.9745, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
37,train,0.07214641005854414,"tensor(0.9830, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
37,test,0.07603076862566399,"tensor(0.9758, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
38,train,0.06662131554851629,"tensor(0.9855, device='cuda:5', dtype=torch.float64)","tensor(0.9794, device='cuda:5', dtype=torch.float64)"
38,test,0.0768977885444959,"tensor(0.9818, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
39,train,0.06870674564230321,"tensor(0.9810, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
39,test,0.07775060184977271,"tensor(0.9770, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
40,train,0.06356397346866251,"tensor(0.9859, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
40,test,0.07341660590785923,"tensor(0.9806, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
41,train,0.06211450937721465,"tensor(0.9855, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
41,test,0.07260373078512423,"tensor(0.9806, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
42,train,0.061224732904723196,"tensor(0.9855, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
42,test,0.07188728674794688,"tensor(0.9806, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
43,train,0.059886434903048506,"tensor(0.9867, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
43,test,0.06992398466124679,"tensor(0.9794, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
44,train,0.06009456143535749,"tensor(0.9855, device='cuda:5', dtype=torch.float64)","tensor(0.9818, device='cuda:5', dtype=torch.float64)"
44,test,0.06926687762592779,"tensor(0.9830, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
45,train,0.059838290351508845,"tensor(0.9867, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
45,test,0.06912168640982021,"tensor(0.9818, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
46,train,0.059654784565321126,"tensor(0.9834, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
46,test,0.06971898146651008,"tensor(0.9733, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
47,train,0.05974497444701917,"tensor(0.9863, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
47,test,0.07382159411907196,"tensor(0.9794, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
48,train,0.06117705905377263,"tensor(0.9830, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
48,test,0.0714642415263436,"tensor(0.9770, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
49,train,0.057556606880342115,"tensor(0.9859, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
49,test,0.07053099854425951,"tensor(0.9782, device='cuda:5', dtype=torch.float64)","tensor(0.9830, device='cuda:5', dtype=torch.float64)"
